"","x"
"1",0.00208961480132812
"2",0.000280790232376842
"3",0.000685500890345489
"4",0.00127395452218812
"5",0.00385151342347284
"6",0.000561040524775105
"7",3.97780624076408e-07
"8",0.00446801103097168
"9",0.00443711983361135
"10",5.17070784302831e-12
"11",0.00162589390823617
"12",0.000420351165624578
"13",3.10574035131038e-05
"14",3.48502138890978e-05
"15",4.62075244952108e-05
"16",1.75285037044675e-05
"17",0.000360171434269001
"18",1.34829484808301e-05
"19",0.00101221052304171
"20",1.78591325887162e-06
"21",6.38328136489705e-05
"22",0.000139824783731326
"23",1.98392047529397e-05
"24",2.54135166528439e-05
"25",1.62261465672378e-07
"26",1.33701202590199e-05
"27",5.30605295240647e-05
"28",5.22151276222536e-07
"29",5.67566118479161e-05
"30",8.4977585038011e-07
"31",9.8417936341177e-05
"32",0.000466203816962156
"33",0.00244407786773825
"34",6.11746619868438e-05
"35",2.73705384743565e-06
"36",0.000809685599969059
"37",0.000184525349985155
"38",0.000146588084883621
"39",8.440247354975e-05
"40",3.45571885989915e-05
"41",4.85051538608881e-05
"42",8.73152692471815e-05
"43",2.04263553878653e-07
"44",1.43136291781388e-07
"45",0.000110335568360096
"46",0.000309771578568799
"47",7.19150725859516e-06
"48",0.000122309734434849
"49",0.00489988908427572
"50",0.000265836631669028
"51",0.00011227714607797
"52",0.000457611305816966
"53",0.000271210137938292
"54",1.78966979129066e-05
"55",0.00239612662326989
"56",0.00238049392234713
"57",2.11662145563064e-06
"58",0.000294050212361046
"59",0.000147929755042222
"60",0.000101461554846266
"61",3.84181983023321e-05
"62",0.000288827000405226
"63",0.000153235604275466
"64",0.000439567451805124
"65",0.0112636194360535
"66",0.00426497824763258
"67",0.00395160680012872
"68",3.10937104892383e-05
"69",3.07718577333232e-08
"70",4.81504747006115e-07
"71",4.64230469154065e-05
"72",1.73125115267125e-07
"73",0.00015941213329547
"74",1.93073172726291e-05
"75",0.000105631348854875
"76",0.000311972213568606
"77",0.000405486615795652
"78",0.000305748235906608
"79",2.05741497845661e-07
"80",0.000233484161662632
"81",3.64320701544625e-06
"82",0.000180768542001608
"83",3.29691442204911e-05
"84",0.000103935924936904
"85",2.01832602614354e-05
"86",3.87122475578986e-05
"87",3.20712118986498e-06
"88",0.000478587987554205
"89",0.00213806454009017
"90",0.000199847959382008
"91",0.0008705206776332
"92",0.00126483265006556
"93",0.00271294870808869
"94",0.00140480656506212
"95",0.00304557417946978
"96",2.49858004816496e-06
"97",0.000555394032344787
"98",0.000800351255562683
"99",0.00580856386691132
"100",5.47972845001218e-05
"101",0.000461469293888714
"102",4.57803502254912e-05
"103",0.000239209392889202
"104",4.89837784972715e-05
"105",9.41643558816632e-05
"106",6.17967597667018e-05
"107",0.00037030606957531
"108",7.27237537864987e-06
"109",0.000444728596929753
"110",7.30339866197805e-06
"111",5.10528000148647e-05
"112",0.000550513171971281
"113",0.000182478606216955
"114",0.000186607694514666
"115",0.00191769847203286
"116",0.000200178918970663
"117",0.000173467228041575
"118",0.000810626778390599
"119",1.71571470476838e-07
"120",9.58100337978972e-05
"121",1.36493138309362e-06
"122",0.00109453103540837
